checkin_id,victim_id,timestamp,channel,language,raw_text,simulated_tier,missed_checkin,response_latency_sec
CHK-0003-07,VIC-0003,2026-08-15 00:46:25,sms,en,"They broke our window last night, I fear for our lives.",Critical,0,61
CHK-0003-08,VIC-0003,2026-08-21 00:46:25,chat,en,"They broke our window last night, I fear for our lives.",Critical,0,53
CHK-0004-00,VIC-0004,2026-07-04 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,24
CHK-0004-01,VIC-0004,2026-07-10 00:46:25,web,en,Feeling anxious about the court hearing next month.,Moderate,0,10
CHK-0004-02,VIC-0004,2026-07-16 00:46:25,ivrs,en,Family is safe and doing well this week.,Low,0,15
CHK-0004-03,VIC-0004,2026-07-22 00:46:25,sms,en,Feeling anxious about the court hearing next month.,Moderate,0,11
CHK-0004-04,VIC-0004,2026-07-28 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,25
CHK-0005-00,VIC-0005,2026-07-04 00:46:25,web,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,0,13
CHK-0005-01,VIC-0005,2026-07-10 00:46:25,sms,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,19
CHK-0005-02,VIC-0005,2026-07-16 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,17
CHK-0005-03,VIC-0005,2026-07-22 00:46:25,ivrs,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,19
CHK-0005-04,VIC-0005,2026-07-28 00:46:25,sms,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,20
CHK-0005-05,VIC-0005,2026-08-03 00:46:25,web,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,16
CHK-0005-06,VIC-0005,2026-08-09 00:46:25,sms,hi,आरोपियों के रिश्तेदार आज हमारे घर के बाहर घूम रहे थे।,High,0,91
CHK-0005-07,VIC-0005,2026-08-15 00:46:25,ivrs,hi,मुझे बहुत डर लग रहा है और सब तरफ से अकेलापन महसूस हो रहा है।,High,1,83
CHK-0006-00,VIC-0006,2026-07-04 00:46:25,web,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,1,23
CHK-0006-01,VIC-0006,2026-07-10 00:46:25,sms,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,1,25
CHK-0006-02,VIC-0006,2026-07-16 00:46:25,sms,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,1,14
CHK-0006-03,VIC-0006,2026-07-22 00:46:25,chat,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,18
CHK-0006-04,VIC-0006,2026-07-28 00:46:25,web,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,1,12
CHK-0006-05,VIC-0006,2026-08-03 00:46:25,chat,hi,आरोपियों के रिश्तेदार आज हमारे घर के बाहर घूम रहे थे।,High,0,48
CHK-0007-00,VIC-0007,2026-07-04 00:46:25,ivrs,en,"Things are calm today, I attended work without issues.",Low,0,19
CHK-0007-01,VIC-0007,2026-07-10 00:46:25,ivrs,en,"Things are calm today, I attended work without issues.",Low,0,12
CHK-0007-02,VIC-0007,2026-07-16 00:46:25,ivrs,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,16
CHK-0007-03,VIC-0007,2026-07-22 00:46:25,web,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,6
CHK-0007-04,VIC-0007,2026-07-28 00:46:25,sms,en,Feeling anxious about the court hearing next month.,Moderate,0,10
CHK-0007-05,VIC-0007,2026-08-03 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,11
CHK-0007-06,VIC-0007,2026-08-09 00:46:25,web,en,People in the neighborhood are avoiding talking to us.,Moderate,0,23
CHK-0007-07,VIC-0007,2026-08-15 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,22
CHK-0007-08,VIC-0007,2026-08-21 00:46:25,ivrs,en,Family is safe and doing well this week.,Low,0,15
CHK-0007-09,VIC-0007,2026-08-27 00:46:25,chat,en,People in the neighborhood are avoiding talking to us.,Moderate,1,24
CHK-0008-00,VIC-0008,2026-07-04 00:46:25,ivrs,en,Feeling anxious about the court hearing next month.,Moderate,0,15
CHK-0008-01,VIC-0008,2026-07-10 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,25
CHK-0008-02,VIC-0008,2026-07-16 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,1,14
CHK-0008-03,VIC-0008,2026-07-22 00:46:25,sms,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,8
CHK-0008-04,VIC-0008,2026-07-28 00:46:25,web,en,Direct death threat received today if we testify in court.,Critical,1,83
CHK-0008-05,VIC-0008,2026-08-03 00:46:25,web,en,Direct death threat received today if we testify in court.,Critical,0,93
CHK-0009-00,VIC-0009,2026-07-04 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,16
CHK-0009-01,VIC-0009,2026-07-10 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,18
CHK-0009-02,VIC-0009,2026-07-16 00:46:25,sms,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,15
CHK-0009-03,VIC-0009,2026-07-22 00:46:25,ivrs,en,"Things are calm today, I attended work without issues.",Low,0,23
CHK-0009-04,VIC-0009,2026-07-28 00:46:25,ivrs,en,Feeling anxious about the court hearing next month.,Moderate,0,13
CHK-0009-05,VIC-0009,2026-08-03 00:46:25,web,en,People in the neighborhood are avoiding talking to us.,Moderate,0,16
CHK-0009-06,VIC-0009,2026-08-09 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,8
CHK-0010-00,VIC-0010,2026-07-04 00:46:25,chat,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,1,18
CHK-0010-01,VIC-0010,2026-07-10 00:46:25,ivrs,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,0,24
CHK-0010-02,VIC-0010,2026-07-16 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,16
CHK-0010-03,VIC-0010,2026-07-22 00:46:25,web,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,19
CHK-0010-04,VIC-0010,2026-07-28 00:46:25,chat,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,8
CHK-0010-05,VIC-0010,2026-08-03 00:46:25,chat,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,8
CHK-0010-06,VIC-0010,2026-08-09 00:46:25,web,hi,मुझे बहुत डर लग रहा है और सब तरफ से अकेलापन महसूस हो रहा है।,High,0,74
CHK-0010-07,VIC-0010,2026-08-15 00:46:25,sms,hi,मुझे बहुत डर लग रहा है और सब तरफ से अकेलापन महसूस हो रहा है।,High,1,53
CHK-0011-00,VIC-0011,2026-07-04 00:46:25,sms,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,21
CHK-0011-01,VIC-0011,2026-07-10 00:46:25,web,en,Family is safe and doing well this week.,Low,1,5
CHK-0011-02,VIC-0011,2026-07-16 00:46:25,chat,en,Family is safe and doing well this week.,Low,1,16
CHK-0011-03,VIC-0011,2026-07-22 00:46:25,sms,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,14
CHK-0011-04,VIC-0011,2026-07-28 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,23
CHK-0011-05,VIC-0011,2026-08-03 00:46:25,chat,en,I feel completely isolated and overwhelmed with fear.,High,0,48
CHK-0011-06,VIC-0011,2026-08-09 00:46:25,web,en,Received indirect threats in the market to withdraw the FIR.,High,0,58
CHK-0012-00,VIC-0012,2026-07-04 00:46:25,chat,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,8
CHK-0012-01,VIC-0012,2026-07-10 00:46:25,chat,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,9
CHK-0012-02,VIC-0012,2026-07-16 00:46:25,web,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,13
CHK-0012-03,VIC-0012,2026-07-22 00:46:25,web,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,0,19
CHK-0012-04,VIC-0012,2026-07-28 00:46:25,web,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,18
CHK-0012-05,VIC-0012,2026-08-03 00:46:25,chat,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,25
CHK-0012-06,VIC-0012,2026-08-09 00:46:25,ivrs,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,0,24
CHK-0013-00,VIC-0013,2026-07-04 00:46:25,ivrs,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,1,13
CHK-0013-01,VIC-0013,2026-07-10 00:46:25,sms,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,20
CHK-0013-02,VIC-0013,2026-07-16 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,6
CHK-0013-03,VIC-0013,2026-07-22 00:46:25,sms,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,18
CHK-0013-04,VIC-0013,2026-07-28 00:46:25,chat,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,17
CHK-0013-05,VIC-0013,2026-08-03 00:46:25,chat,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,23
CHK-0013-06,VIC-0013,2026-08-09 00:46:25,sms,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,12
CHK-0013-07,VIC-0013,2026-08-15 00:46:25,ivrs,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,18
CHK-0013-08,VIC-0013,2026-08-21 00:46:25,chat,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,13
CHK-0013-09,VIC-0013,2026-08-27 00:46:25,ivrs,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,11
CHK-0014-00,VIC-0014,2026-07-04 00:46:25,web,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,1,21
CHK-0014-01,VIC-0014,2026-07-10 00:46:25,sms,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,11
CHK-0014-02,VIC-0014,2026-07-16 00:46:25,sms,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,11
CHK-0014-03,VIC-0014,2026-07-22 00:46:25,sms,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,1,15
CHK-0014-04,VIC-0014,2026-07-28 00:46:25,sms,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,1,11
CHK-0014-05,VIC-0014,2026-08-03 00:46:25,chat,hi,आरोपियों के रिश्तेदार आज हमारे घर के बाहर घूम रहे थे।,High,0,40
CHK-0014-06,VIC-0014,2026-08-09 00:46:25,chat,hi,बाज़ार में केस वापस लेने के लिए धमकी दी गई।,High,1,94
CHK-0015-00,VIC-0015,2026-07-04 00:46:25,sms,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,21
CHK-0015-01,VIC-0015,2026-07-10 00:46:25,chat,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,14
CHK-0015-02,VIC-0015,2026-07-16 00:46:25,ivrs,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,15
CHK-0015-03,VIC-0015,2026-07-22 00:46:25,chat,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,20
CHK-0015-04,VIC-0015,2026-07-28 00:46:25,ivrs,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,1,16
CHK-0015-05,VIC-0015,2026-08-03 00:46:25,web,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,12
CHK-0015-06,VIC-0015,2026-08-09 00:46:25,sms,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,17
CHK-0015-07,VIC-0015,2026-08-15 00:46:25,chat,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,1,10
CHK-0015-08,VIC-0015,2026-08-21 00:46:25,chat,hi,गवाही देने पर जान से मारने की सीधी धमकी मिली है।,Critical,0,44
CHK-0015-09,VIC-0015,2026-08-27 00:46:25,ivrs,hi,"अब सहन नहीं हो रहा, कृपया तुरंत मदद भेजिए।",Critical,1,41
CHK-0016-00,VIC-0016,2026-07-04 00:46:25,chat,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,1,22
CHK-0016-01,VIC-0016,2026-07-10 00:46:25,web,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,6
CHK-0016-02,VIC-0016,2026-07-16 00:46:25,sms,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,13
CHK-0016-03,VIC-0016,2026-07-22 00:46:25,web,hi,"अब सहन नहीं हो रहा, कृपया तुरंत मदद भेजिए।",Critical,0,93
CHK-0016-04,VIC-0016,2026-07-28 00:46:25,ivrs,hi,गवाही देने पर जान से मारने की सीधी धमकी मिली है।,Critical,0,75
CHK-0017-00,VIC-0017,2026-07-04 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,5
CHK-0017-01,VIC-0017,2026-07-10 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,18
CHK-0017-02,VIC-0017,2026-07-16 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,10
CHK-0017-03,VIC-0017,2026-07-22 00:46:25,ivrs,en,Family is safe and doing well this week.,Low,0,22
CHK-0017-04,VIC-0017,2026-07-28 00:46:25,sms,en,Feeling anxious about the court hearing next month.,Moderate,0,11
CHK-0018-00,VIC-0018,2026-07-04 00:46:25,web,en,Family is safe and doing well this week.,Low,0,10
CHK-0018-01,VIC-0018,2026-07-10 00:46:25,chat,en,Family is safe and doing well this week.,Low,0,19
CHK-0018-02,VIC-0018,2026-07-16 00:46:25,web,en,"Things are calm today, I attended work without issues.",Low,0,21
CHK-0018-03,VIC-0018,2026-07-22 00:46:25,chat,en,Feeling anxious about the court hearing next month.,Moderate,0,15
CHK-0018-04,VIC-0018,2026-07-28 00:46:25,chat,en,People in the neighborhood are avoiding talking to us.,Moderate,0,7
CHK-0018-05,VIC-0018,2026-08-03 00:46:25,sms,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,22
CHK-0018-06,VIC-0018,2026-08-09 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,1,5
CHK-0018-07,VIC-0018,2026-08-15 00:46:25,sms,en,Relatives of the accused were seen loitering outside our house.,High,1,38
CHK-0018-08,VIC-0018,2026-08-21 00:46:25,ivrs,en,Relatives of the accused were seen loitering outside our house.,High,0,60
CHK-0018-09,VIC-0018,2026-08-27 00:46:25,web,en,Relatives of the accused were seen loitering outside our house.,High,1,41
CHK-0019-00,VIC-0019,2026-07-04 00:46:25,web,en,Family is safe and doing well this week.,Low,0,12
CHK-0019-01,VIC-0019,2026-07-10 00:46:25,web,en,Family is safe and doing well this week.,Low,1,22
CHK-0019-02,VIC-0019,2026-07-16 00:46:25,ivrs,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,12
CHK-0019-03,VIC-0019,2026-07-22 00:46:25,chat,en,Family is safe and doing well this week.,Low,0,16
CHK-0019-04,VIC-0019,2026-07-28 00:46:25,ivrs,en,"Things are calm today, I attended work without issues.",Low,0,24
CHK-0020-00,VIC-0020,2026-07-04 00:46:25,chat,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,14
CHK-0020-01,VIC-0020,2026-07-10 00:46:25,ivrs,en,People in the neighborhood are avoiding talking to us.,Moderate,0,8
CHK-0020-02,VIC-0020,2026-07-16 00:46:25,sms,en,Family is safe and doing well this week.,Low,0,17
CHK-0020-03,VIC-0020,2026-07-22 00:46:25,web,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,12
CHK-0020-04,VIC-0020,2026-07-28 00:46:25,web,en,"Things are calm today, I attended work without issues.",Low,1,15
CHK-0020-05,VIC-0020,2026-08-03 00:46:25,sms,en,Family is safe and doing well this week.,Low,0,20
CHK-0020-06,VIC-0020,2026-08-09 00:46:25,web,en,Feeling anxious about the court hearing next month.,Moderate,0,25
CHK-0021-00,VIC-0021,2026-07-04 00:46:25,sms,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,5
CHK-0021-01,VIC-0021,2026-07-10 00:46:25,ivrs,en,Feeling anxious about the court hearing next month.,Moderate,1,13
CHK-0021-02,VIC-0021,2026-07-16 00:46:25,ivrs,en,People in the neighborhood are avoiding talking to us.,Moderate,1,23
CHK-0021-03,VIC-0021,2026-07-22 00:46:25,ivrs,en,People in the neighborhood are avoiding talking to us.,Moderate,0,18
CHK-0021-04,VIC-0021,2026-07-28 00:46:25,ivrs,en,"Things are calm today, I attended work without issues.",Low,0,11
CHK-0021-05,VIC-0021,2026-08-03 00:46:25,sms,en,Feeling anxious about the court hearing next month.,Moderate,0,10
CHK-0022-00,VIC-0022,2026-07-04 00:46:25,ivrs,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,21
CHK-0022-01,VIC-0022,2026-07-10 00:46:25,chat,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,18
CHK-0022-02,VIC-0022,2026-07-16 00:46:25,ivrs,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,9
CHK-0022-03,VIC-0022,2026-07-22 00:46:25,sms,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,17
CHK-0022-04,VIC-0022,2026-07-28 00:46:25,chat,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,1,18
CHK-0022-05,VIC-0022,2026-08-03 00:46:25,sms,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,23
CHK-0022-06,VIC-0022,2026-08-09 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,13
CHK-0022-07,VIC-0022,2026-08-15 00:46:25,sms,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,16
CHK-0022-08,VIC-0022,2026-08-21 00:46:25,sms,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,25
CHK-0023-00,VIC-0023,2026-07-04 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,15
CHK-0023-01,VIC-0023,2026-07-10 00:46:25,web,en,Feeling anxious about the court hearing next month.,Moderate,0,16
CHK-0023-02,VIC-0023,2026-07-16 00:46:25,chat,en,Feeling anxious about the court hearing next month.,Moderate,0,14
CHK-0023-03,VIC-0023,2026-07-22 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,9
CHK-0023-04,VIC-0023,2026-07-28 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,9
CHK-0023-05,VIC-0023,2026-08-03 00:46:25,web,en,Feeling anxious about the court hearing next month.,Moderate,0,17
CHK-0023-06,VIC-0023,2026-08-09 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,19
CHK-0023-07,VIC-0023,2026-08-15 00:46:25,sms,en,"They broke our window last night, I fear for our lives.",Critical,1,89
CHK-0023-08,VIC-0023,2026-08-21 00:46:25,ivrs,en,Direct death threat received today if we testify in court.,Critical,0,80
CHK-0024-00,VIC-0024,2026-07-04 00:46:25,ivrs,en,Family is safe and doing well this week.,Low,1,6
CHK-0024-01,VIC-0024,2026-07-10 00:46:25,ivrs,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,5
CHK-0024-02,VIC-0024,2026-07-16 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,25
CHK-0024-03,VIC-0024,2026-07-22 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,18
CHK-0024-04,VIC-0024,2026-07-28 00:46:25,chat,en,People in the neighborhood are avoiding talking to us.,Moderate,0,23
CHK-0024-05,VIC-0024,2026-08-03 00:46:25,chat,en,"Things are calm today, I attended work without issues.",Low,0,10
CHK-0025-00,VIC-0025,2026-07-04 00:46:25,web,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,18
CHK-0025-01,VIC-0025,2026-07-10 00:46:25,web,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,13
CHK-0025-02,VIC-0025,2026-07-16 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,7
CHK-0025-03,VIC-0025,2026-07-22 00:46:25,sms,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,14
CHK-0025-04,VIC-0025,2026-07-28 00:46:25,web,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,12
CHK-0025-05,VIC-0025,2026-08-03 00:46:25,web,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,13
CHK-0025-06,VIC-0025,2026-08-09 00:46:25,web,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,24
CHK-0025-07,VIC-0025,2026-08-15 00:46:25,chat,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,0,22
CHK-0025-08,VIC-0025,2026-08-21 00:46:25,web,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,18
CHK-0025-09,VIC-0025,2026-08-27 00:46:25,ivrs,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,21
CHK-0026-00,VIC-0026,2026-07-04 00:46:25,chat,en,Family is safe and doing well this week.,Low,1,7
CHK-0026-01,VIC-0026,2026-07-10 00:46:25,web,en,"Things are calm today, I attended work without issues.",Low,0,13
CHK-0026-02,VIC-0026,2026-07-16 00:46:25,web,en,"Things are calm today, I attended work without issues.",Low,0,5
CHK-0026-03,VIC-0026,2026-07-22 00:46:25,chat,en,People in the neighborhood are avoiding talking to us.,Moderate,0,16
CHK-0026-04,VIC-0026,2026-07-28 00:46:25,web,en,Feeling anxious about the court hearing next month.,Moderate,1,14
CHK-0026-05,VIC-0026,2026-08-03 00:46:25,web,en,Received indirect threats in the market to withdraw the FIR.,High,0,39
CHK-0026-06,VIC-0026,2026-08-09 00:46:25,sms,en,Relatives of the accused were seen loitering outside our house.,High,1,87
CHK-0027-00,VIC-0027,2026-07-04 00:46:25,sms,en,"Things are calm today, I attended work without issues.",Low,0,24
CHK-0027-01,VIC-0027,2026-07-10 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,10
CHK-0027-02,VIC-0027,2026-07-16 00:46:25,chat,en,"Things are calm today, I attended work without issues.",Low,0,5
CHK-0027-03,VIC-0027,2026-07-22 00:46:25,chat,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,11
CHK-0027-04,VIC-0027,2026-07-28 00:46:25,ivrs,en,Feeling anxious about the court hearing next month.,Moderate,0,8
CHK-0028-00,VIC-0028,2026-07-04 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,1,18
CHK-0028-01,VIC-0028,2026-07-10 00:46:25,web,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,11
CHK-0028-02,VIC-0028,2026-07-16 00:46:25,ivrs,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,1,8
CHK-0028-03,VIC-0028,2026-07-22 00:46:25,ivrs,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,6
CHK-0028-04,VIC-0028,2026-07-28 00:46:25,ivrs,hi,आरोपियों के रिश्तेदार आज हमारे घर के बाहर घूम रहे थे।,High,0,68
CHK-0029-00,VIC-0029,2026-07-04 00:46:25,sms,hi,"वकील साहब से बात हुई, सब ठीक चल रहा है।",Low,0,19
CHK-0029-01,VIC-0029,2026-07-10 00:46:25,sms,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,19
